model,precision,recall,mAP50,mAP50-95
model_v1,0.7142352666050957,0.7297365108341433,0.7470731559220665,0.5364505422749622
model_v2,0.8288244357416898,0.749622678973785,0.806252664236846,0.5829734102682079
