epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,86.0554,1.92107,2.59854,0.00849,0.56117,0.48624,0.50514,0.3001,1.63166,1.75788,0.00838,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906
2,151.293,1.85897,1.63581,0.008,0.63267,0.57421,0.60283,0.36288,1.61404,1.33488,0.00823,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941
3,209.525,1.89382,1.45568,0.00826,0.70186,0.55391,0.59593,0.33815,1.71238,1.31542,0.00911,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677
4,265.355,1.91629,1.38092,0.00844,0.71176,0.58298,0.63426,0.35985,1.6887,1.16691,0.009,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,323.86,1.88377,1.30751,0.00828,0.71508,0.58662,0.64215,0.37259,1.68019,1.1095,0.00905,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,382.098,1.86217,1.26011,0.00812,0.66198,0.61881,0.64932,0.38708,1.64703,1.07302,0.00879,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,440.988,1.83898,1.21814,0.00793,0.73122,0.65332,0.69716,0.4162,1.6132,0.99555,0.00843,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,496.656,1.80307,1.16996,0.00772,0.74211,0.66891,0.7001,0.42755,1.58463,0.94914,0.00819,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,552.773,1.7959,1.15326,0.00761,0.77867,0.65646,0.71495,0.43719,1.57433,0.93125,0.00803,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,608.068,1.76832,1.13278,0.00753,0.79256,0.65511,0.73516,0.45029,1.54854,0.91617,0.00784,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,664.643,1.75232,1.10701,0.00739,0.75403,0.69426,0.73061,0.44877,1.54859,0.9104,0.00781,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,722.616,1.74682,1.09123,0.00731,0.77898,0.67194,0.72498,0.4482,1.54197,0.9139,0.00791,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,778.796,1.7393,1.07961,0.00725,0.75866,0.68682,0.74325,0.46679,1.49123,0.87835,0.00756,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,833.974,1.71285,1.05767,0.00713,0.80259,0.67264,0.75197,0.46822,1.47045,0.8652,0.00733,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,889.378,1.70328,1.04211,0.00701,0.78164,0.71066,0.76494,0.48604,1.48158,0.83839,0.00732,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,944.468,1.68929,1.03677,0.00706,0.77771,0.67616,0.74763,0.48116,1.48512,0.85992,0.00744,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,999.678,1.69497,1.03131,0.00696,0.77289,0.69062,0.75829,0.48508,1.4737,0.84507,0.00736,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1058.48,1.69764,1.02654,0.00694,0.79312,0.69403,0.76016,0.48603,1.46061,0.81633,0.00738,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1115.54,1.67725,1.00961,0.00684,0.77658,0.72441,0.77221,0.49352,1.44528,0.80896,0.00718,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1172.11,1.66074,1.00045,0.00682,0.79366,0.71596,0.77393,0.49678,1.43443,0.80814,0.00708,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1228.65,1.6628,0.99424,0.00678,0.81757,0.70501,0.78294,0.50085,1.43295,0.80338,0.00704,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1284.84,1.65418,0.98618,0.00673,0.78105,0.71732,0.77133,0.50182,1.41208,0.8118,0.00695,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1340.57,1.64769,0.97656,0.0067,0.80934,0.7251,0.77862,0.50414,1.41717,0.78198,0.00694,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1398.79,1.63705,0.96694,0.00662,0.81284,0.73643,0.79126,0.51922,1.40127,0.76271,0.00686,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1457.37,1.63234,0.95958,0.00661,0.77452,0.74098,0.79425,0.5195,1.38115,0.76333,0.00684,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1513.64,1.62853,0.9495,0.00662,0.7969,0.73286,0.79345,0.52525,1.37549,0.76256,0.00674,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1570.66,1.63144,0.94546,0.00658,0.82221,0.71805,0.79355,0.52353,1.37276,0.75782,0.00667,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1626.35,1.62799,0.94271,0.00653,0.77853,0.73479,0.79065,0.5241,1.359,0.74631,0.00656,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1682.42,1.60985,0.93952,0.00644,0.82597,0.70831,0.79244,0.52268,1.35838,0.74137,0.0066,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1739.63,1.61124,0.93657,0.00644,0.82764,0.72548,0.80162,0.52694,1.36399,0.73709,0.00656,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1799.02,1.60407,0.93299,0.00645,0.81667,0.72375,0.79925,0.53179,1.3633,0.7265,0.00657,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1855.89,1.60356,0.92737,0.00645,0.77614,0.75864,0.79176,0.52449,1.35027,0.73705,0.00652,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1911.9,1.60623,0.92892,0.00635,0.81012,0.74548,0.79691,0.52922,1.33263,0.73702,0.0064,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1968.4,1.58701,0.91527,0.00634,0.80684,0.74252,0.79937,0.53147,1.34269,0.73376,0.00643,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2024.08,1.59075,0.9146,0.00637,0.82302,0.73253,0.80718,0.53454,1.34839,0.7194,0.00643,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2079.35,1.58302,0.90749,0.00627,0.83302,0.73039,0.80071,0.53847,1.33539,0.72356,0.00638,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2137.81,1.58804,0.90902,0.00634,0.82176,0.7469,0.80906,0.54461,1.31293,0.70961,0.00637,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2195.35,1.58634,0.9046,0.00632,0.82498,0.75252,0.81511,0.5491,1.32747,0.70712,0.00631,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2252.81,1.57656,0.90174,0.00627,0.83385,0.74611,0.81568,0.5473,1.3114,0.70327,0.0063,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2308.39,1.56892,0.89277,0.00625,0.82766,0.74639,0.80851,0.54499,1.32789,0.69846,0.00636,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2365.05,1.57251,0.89887,0.0062,0.8013,0.75796,0.81718,0.54954,1.32067,0.69641,0.00626,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2420.74,1.56342,0.88943,0.00621,0.8395,0.74709,0.81165,0.54719,1.31768,0.69518,0.00633,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2477.91,1.55767,0.89098,0.00617,0.8489,0.74436,0.80995,0.556,1.30089,0.70191,0.0062,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2536.13,1.5679,0.88322,0.00616,0.84223,0.76117,0.81161,0.55352,1.3004,0.69405,0.00619,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2592.42,1.55799,0.88406,0.00615,0.86719,0.7259,0.81497,0.55488,1.29963,0.70021,0.00617,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2648.77,1.54363,0.87336,0.00613,0.84125,0.75061,0.81712,0.55617,1.30851,0.6877,0.00618,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2704.89,1.55124,0.86635,0.00607,0.83627,0.75583,0.82151,0.55716,1.3093,0.69203,0.00619,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2760.73,1.54566,0.86582,0.00609,0.8202,0.76518,0.81237,0.55477,1.30619,0.68931,0.0062,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2816.32,1.55013,0.8682,0.0061,0.83927,0.76033,0.81645,0.55919,1.29121,0.68556,0.00616,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2874.79,1.55347,0.87201,0.00607,0.84002,0.7587,0.81576,0.56013,1.29054,0.68048,0.00615,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2931.79,1.54137,0.86541,0.00606,0.84125,0.76679,0.8235,0.56511,1.27921,0.68211,0.00601,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2987.76,1.54228,0.85714,0.00605,0.84194,0.76158,0.82604,0.56361,1.28373,0.68114,0.00602,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3044.1,1.53695,0.86221,0.00607,0.84804,0.74716,0.82335,0.562,1.28123,0.68544,0.00602,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3100.41,1.53153,0.85413,0.00601,0.84211,0.75134,0.82149,0.56039,1.28066,0.68877,0.00608,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3156.15,1.53378,0.85871,0.006,0.82734,0.76971,0.82115,0.56162,1.28347,0.67936,0.00609,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3214.81,1.52881,0.84886,0.006,0.85435,0.74847,0.82284,0.56258,1.27947,0.67954,0.00604,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3272.44,1.51862,0.84447,0.00596,0.85344,0.75546,0.82056,0.56311,1.27873,0.67952,0.00603,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3328.93,1.51642,0.84101,0.006,0.84138,0.76877,0.81928,0.56509,1.2742,0.67993,0.006,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3385.08,1.50812,0.84101,0.00589,0.84446,0.76678,0.81892,0.56179,1.27375,0.68207,0.00601,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3441.01,1.51707,0.84318,0.0059,0.8382,0.76752,0.8199,0.56259,1.2676,0.68324,0.00599,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3497.83,1.51534,0.83861,0.0059,0.84719,0.76008,0.82303,0.56593,1.26938,0.68519,0.00598,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,3555.53,1.51555,0.8322,0.00591,0.85011,0.7569,0.82089,0.56409,1.27176,0.68212,0.00599,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,3614.12,1.5152,0.83518,0.0059,0.85555,0.75997,0.82507,0.56542,1.2741,0.67309,0.006,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3670.24,1.50979,0.83166,0.00586,0.8547,0.75563,0.82407,0.5632,1.27338,0.67674,0.00598,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3726.82,1.51227,0.83376,0.00585,0.85581,0.75886,0.82441,0.56593,1.27018,0.68193,0.00593,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3783.88,1.50644,0.82523,0.00583,0.8528,0.76191,0.82622,0.566,1.27208,0.67764,0.00594,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3839.39,1.50527,0.82512,0.00579,0.86195,0.75777,0.82759,0.56845,1.27224,0.67445,0.00593,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3895.78,1.49365,0.81451,0.00582,0.85286,0.7627,0.82662,0.56746,1.26893,0.67482,0.00592,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3953.88,1.49086,0.81144,0.00574,0.85555,0.75443,0.82528,0.56749,1.26714,0.67255,0.00592,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,4010.87,1.49572,0.82035,0.0058,0.86527,0.74504,0.82861,0.57018,1.26379,0.67199,0.00589,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4066.73,1.49244,0.80841,0.00574,0.8613,0.75204,0.82809,0.57063,1.26326,0.67087,0.00588,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4122.84,1.4902,0.81147,0.00577,0.85688,0.76123,0.82695,0.56953,1.2629,0.67218,0.00588,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4179.42,1.49309,0.81139,0.00576,0.85301,0.7629,0.82552,0.56929,1.26013,0.67136,0.00585,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4235.22,1.47337,0.80371,0.00572,0.85021,0.76425,0.82616,0.57063,1.25806,0.67501,0.00584,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,4292.33,1.4799,0.80194,0.00569,0.85248,0.76452,0.82668,0.57275,1.2572,0.67024,0.00583,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,4349.89,1.48823,0.80532,0.00571,0.85246,0.76405,0.82786,0.57298,1.25726,0.66831,0.00583,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,4406.25,1.4774,0.79775,0.00569,0.85247,0.76215,0.82835,0.57408,1.25659,0.66669,0.00583,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4461.81,1.48159,0.80064,0.00562,0.84546,0.76621,0.82662,0.57186,1.25597,0.66561,0.00582,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,4518.57,1.46744,0.79353,0.00569,0.85347,0.75987,0.82662,0.57184,1.25358,0.66418,0.00581,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,4574.69,1.46611,0.78234,0.0056,0.8502,0.76101,0.82894,0.57373,1.25282,0.66445,0.00581,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,4631.69,1.46669,0.79417,0.00563,0.85444,0.75925,0.83079,0.57567,1.25496,0.65936,0.00582,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,4689.57,1.46313,0.79327,0.0056,0.84707,0.76241,0.82983,0.5745,1.25553,0.65891,0.00582,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,4746.04,1.46954,0.79276,0.0056,0.84789,0.7665,0.83087,0.57624,1.25388,0.65506,0.00582,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,4801.78,1.46105,0.78794,0.00559,0.84859,0.76537,0.83067,0.57671,1.25461,0.65546,0.00583,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,4857.67,1.46088,0.78236,0.00559,0.85007,0.76837,0.83047,0.57616,1.25268,0.65381,0.00582,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4913.1,1.46279,0.79086,0.0056,0.85053,0.76267,0.83109,0.57656,1.25392,0.65459,0.00582,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4969.57,1.45691,0.78323,0.00555,0.84911,0.76712,0.83202,0.57767,1.2538,0.65506,0.00583,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5027.86,1.45044,0.77789,0.00551,0.84736,0.7641,0.83116,0.57697,1.25493,0.65409,0.00583,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,5085.19,1.4512,0.77256,0.00553,0.84245,0.76911,0.83092,0.57626,1.25376,0.6557,0.00584,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,5140.9,1.44468,0.7746,0.00548,0.84527,0.76908,0.83041,0.57644,1.25474,0.65308,0.00584,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,5196.87,1.44964,0.77915,0.00552,0.84448,0.76915,0.83109,0.57754,1.25241,0.65556,0.00582,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
