,risk_0_safe,risk_1_low,risk_2_high,row_sum_true_count
risk_0_safe,48,3,2,53.0
risk_1_low,8,14,2,24.0
risk_2_high,4,2,24,30.0
col_sum_pred_count,60,19,28,
