,precision,recall,f1-score,support
risk_0_safe,0.8,0.9056603773584906,0.8495575221238938,53.0
risk_1_low,0.7368421052631579,0.5833333333333334,0.6511627906976745,24.0
risk_2_high,0.8571428571428571,0.8,0.8275862068965517,30.0
accuracy,0.8037383177570093,0.8037383177570093,0.8037383177570093,0.8037383177570093
macro avg,0.7979949874686717,0.7629979035639414,0.7761021732393734,107.0
weighted avg,0.8018551050523506,0.8037383177570093,0.7988975874411879,107.0
