,precision,recall,f1-score,support
risk_0_safe,0.8305084745762712,0.9245283018867925,0.875,53.0
risk_1_low,0.6538461538461539,0.7083333333333334,0.68,24.0
risk_2_high,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
accuracy,0.8037383177570093,0.8037383177570093,0.8037383177570093,0.8037383177570093
macro avg,0.7978151791711113,0.7665094339622641,0.7747435897435898,107.0
weighted avg,0.8129157394166107,0.8037383177570093,0.8016067577282531,107.0
