true_label,pred_label,count
risk_1_low,risk_0_safe,8
risk_2_high,risk_0_safe,4
risk_0_safe,risk_1_low,3
risk_0_safe,risk_2_high,2
risk_1_low,risk_2_high,2
risk_2_high,risk_1_low,2
