,risk_0_safe,risk_1_low,risk_2_high,row_sum_true_count
risk_0_safe,49,2,2,53.0
risk_1_low,7,17,0,24.0
risk_2_high,3,7,20,30.0
col_sum_pred_count,59,26,22,
