epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.8219,2.02698,2.6154,0.00931,0.54512,0.47267,0.47661,0.27088,1.75448,1.81045,0.00876,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906
2,153.059,1.955,1.67094,0.00866,0.63461,0.52261,0.55956,0.31531,1.73037,1.41633,0.009,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941
3,211.787,1.98887,1.49296,0.00888,0.59118,0.52968,0.54343,0.3008,1.80471,1.52626,0.00935,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677
4,267.709,2.01722,1.44205,0.00911,0.65222,0.54448,0.5739,0.32623,1.77763,1.34485,0.00938,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,323.316,1.97164,1.36388,0.00889,0.63759,0.59152,0.59928,0.33196,1.7796,1.16379,0.00929,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,381.563,1.94354,1.30336,0.00869,0.67084,0.5728,0.62888,0.35828,1.74047,1.09891,0.00911,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,439.02,1.92209,1.2657,0.00852,0.70277,0.61868,0.65344,0.38477,1.71109,1.06757,0.00873,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,496.027,1.88878,1.22128,0.00829,0.70831,0.61391,0.66821,0.39961,1.66177,1.05528,0.0085,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,551.766,1.87638,1.19792,0.00814,0.74301,0.64312,0.68722,0.39072,1.66964,1.03227,0.00851,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,607.45,1.84141,1.17421,0.00802,0.73263,0.6442,0.69919,0.4117,1.64546,0.98336,0.00828,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,663.034,1.84447,1.1551,0.00795,0.71976,0.67749,0.70881,0.42513,1.62045,0.97499,0.00795,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,720.74,1.82707,1.13493,0.00784,0.7754,0.6331,0.7154,0.43211,1.62158,0.94967,0.00791,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,778.89,1.82029,1.12578,0.00775,0.78664,0.63794,0.71711,0.43759,1.62016,0.92647,0.00809,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,836.706,1.79855,1.10885,0.00768,0.7699,0.68511,0.73387,0.44743,1.57314,0.90145,0.00774,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,893.227,1.79111,1.09022,0.00755,0.74671,0.6757,0.73219,0.45404,1.58044,0.90828,0.0078,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,949.659,1.76964,1.07335,0.00756,0.77671,0.68088,0.74287,0.4654,1.54792,0.88117,0.00763,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1005.07,1.78061,1.0772,0.00748,0.76433,0.69044,0.73898,0.45499,1.54362,0.89593,0.00752,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1063.23,1.78169,1.07051,0.00746,0.79129,0.66659,0.74115,0.45954,1.52485,0.88741,0.00744,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1121.14,1.76143,1.05354,0.00737,0.79025,0.69165,0.73717,0.45623,1.53671,0.87162,0.00754,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1177.54,1.7444,1.04365,0.00736,0.77172,0.69797,0.74599,0.46117,1.52682,0.87907,0.00752,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1234.42,1.74699,1.04647,0.0073,0.8021,0.66838,0.75627,0.47599,1.50729,0.85446,0.00736,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1289.97,1.73892,1.02455,0.00727,0.81009,0.68428,0.75436,0.47566,1.52985,0.84192,0.00734,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1345.44,1.7313,1.0202,0.00721,0.80267,0.69117,0.75126,0.48409,1.47249,0.84434,0.0071,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1400.66,1.72094,1.00836,0.00711,0.81688,0.68517,0.75365,0.47516,1.49848,0.84465,0.00714,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1459.74,1.7236,1.00916,0.00716,0.77477,0.72213,0.76645,0.48814,1.48248,0.81843,0.00722,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1516.53,1.71664,1.00528,0.00713,0.78945,0.70077,0.76343,0.49002,1.4761,0.83711,0.00704,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1572.98,1.7099,0.99341,0.00706,0.79267,0.70487,0.76307,0.48498,1.45875,0.83559,0.00708,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1628.89,1.71097,1.00026,0.00705,0.82545,0.70965,0.77419,0.48918,1.46234,0.81103,0.00699,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1684.39,1.70025,0.98796,0.00698,0.82185,0.70428,0.77699,0.49931,1.44724,0.78908,0.00696,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1741.03,1.70057,0.98596,0.00696,0.82678,0.69379,0.77397,0.50206,1.45123,0.80102,0.00691,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1800.46,1.69766,0.9863,0.00702,0.83493,0.68677,0.78233,0.50493,1.42791,0.80265,0.00684,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1857.94,1.68403,0.96978,0.00694,0.80829,0.71099,0.78087,0.50394,1.42959,0.79862,0.0068,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1912.7,1.69151,0.96635,0.00688,0.79299,0.71568,0.76968,0.49947,1.42001,0.79889,0.00675,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1966.81,1.66873,0.96152,0.00684,0.79988,0.72436,0.77676,0.50127,1.43438,0.78536,0.00681,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2021.04,1.67423,0.95917,0.00689,0.79782,0.73295,0.78001,0.50693,1.42406,0.77149,0.00678,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2075.46,1.67113,0.95937,0.00681,0.78889,0.72835,0.78603,0.50797,1.42447,0.78187,0.00676,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2130.35,1.67107,0.9613,0.00685,0.8055,0.72067,0.7826,0.50984,1.41757,0.77852,0.00672,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2188.57,1.66675,0.95474,0.0068,0.83692,0.73517,0.79706,0.5147,1.41718,0.76092,0.00671,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2245.32,1.66542,0.94447,0.00679,0.84303,0.72909,0.79694,0.52065,1.39808,0.75033,0.00658,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2300.02,1.65341,0.93537,0.00676,0.82489,0.72366,0.78793,0.51331,1.41476,0.76023,0.00663,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2353.89,1.65738,0.94309,0.0067,0.8247,0.71582,0.7892,0.51668,1.39329,0.75432,0.00649,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2408.49,1.6422,0.93315,0.00668,0.78473,0.74168,0.79033,0.51497,1.39388,0.76195,0.00655,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2462.5,1.6468,0.93596,0.00669,0.82097,0.7159,0.79405,0.51948,1.40171,0.75007,0.00652,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2520.03,1.6522,0.93348,0.00667,0.79418,0.74074,0.79094,0.52248,1.38059,0.76326,0.00645,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2578.63,1.64604,0.93379,0.00668,0.81113,0.73802,0.80272,0.5287,1.38098,0.74023,0.00643,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2634.94,1.63104,0.92289,0.00665,0.85752,0.7172,0.80262,0.53248,1.36837,0.74115,0.00635,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2689.36,1.63624,0.9168,0.00655,0.85447,0.70165,0.7969,0.53022,1.36893,0.73089,0.00632,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2743.76,1.62892,0.918,0.00659,0.85577,0.70964,0.79971,0.52854,1.37595,0.73474,0.00643,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2798.16,1.63683,0.92392,0.00659,0.82449,0.73759,0.80184,0.53039,1.36276,0.74374,0.00632,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2853.2,1.64191,0.92119,0.00655,0.82088,0.7431,0.79797,0.52778,1.36974,0.73144,0.00635,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2912.52,1.62806,0.91306,0.00657,0.83184,0.71894,0.79791,0.52794,1.36746,0.72819,0.00635,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2969.75,1.62587,0.90671,0.00655,0.82738,0.73032,0.79942,0.53133,1.36382,0.72396,0.0063,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3024.47,1.62617,0.90894,0.00658,0.78684,0.75259,0.79912,0.52998,1.36522,0.72707,0.00632,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3078.51,1.61217,0.90042,0.00648,0.80783,0.74294,0.79937,0.53389,1.37093,0.72851,0.00634,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3133.11,1.61732,0.90896,0.00651,0.82344,0.72815,0.79704,0.53088,1.3783,0.72406,0.00635,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3187.17,1.61254,0.90092,0.00649,0.80707,0.75224,0.79718,0.53169,1.36766,0.72351,0.00631,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3244.8,1.60064,0.89376,0.00645,0.82284,0.75412,0.80346,0.53295,1.36771,0.72124,0.00634,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3301.6,1.60027,0.89329,0.00649,0.81726,0.74897,0.80054,0.53416,1.35919,0.71939,0.00633,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3356.09,1.59519,0.89205,0.00641,0.83732,0.7405,0.80219,0.53361,1.35727,0.71652,0.00628,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3410.38,1.60288,0.89043,0.00639,0.83546,0.74558,0.80355,0.53502,1.36196,0.70794,0.00628,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3464.73,1.59931,0.89358,0.00638,0.81823,0.75146,0.8017,0.53763,1.35534,0.71422,0.00624,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,3519.03,1.5963,0.88261,0.00637,0.82452,0.74815,0.80457,0.53765,1.35033,0.71214,0.00622,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,3573.77,1.59849,0.88645,0.00638,0.82234,0.74269,0.80661,0.5398,1.34388,0.71688,0.00618,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3633.07,1.59144,0.88231,0.00633,0.83395,0.73469,0.80607,0.53808,1.34223,0.71338,0.00616,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3688.38,1.59776,0.87976,0.00634,0.83515,0.73992,0.80379,0.5367,1.34315,0.71351,0.00617,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3742.91,1.5945,0.87807,0.00634,0.83599,0.74072,0.80422,0.53671,1.33782,0.71411,0.00615,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3796.79,1.58382,0.87661,0.00629,0.84126,0.72775,0.80154,0.53818,1.34241,0.70909,0.00617,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3851.4,1.57102,0.86188,0.00629,0.84509,0.73573,0.80702,0.54025,1.33943,0.70699,0.00615,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3905.63,1.57651,0.86363,0.00623,0.83562,0.73739,0.80611,0.5404,1.33729,0.70432,0.00614,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,3962.74,1.58044,0.86904,0.0063,0.83575,0.7455,0.80749,0.54312,1.33467,0.69929,0.00612,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4020.6,1.58224,0.85785,0.00626,0.82789,0.74729,0.80751,0.54375,1.33742,0.69933,0.00614,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4076.79,1.57049,0.86529,0.00623,0.8273,0.75393,0.80987,0.54303,1.3376,0.70069,0.00613,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4131,1.56817,0.86011,0.0062,0.82573,0.75571,0.80853,0.54253,1.33267,0.70334,0.00611,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4185.55,1.55486,0.85098,0.00621,0.84266,0.73785,0.80792,0.54307,1.33308,0.69975,0.00611,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,4239.91,1.56782,0.85077,0.00619,0.8471,0.73974,0.80772,0.54531,1.33396,0.69788,0.0061,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,4295.26,1.57669,0.86098,0.00621,0.85612,0.73189,0.80987,0.54569,1.33138,0.69979,0.00609,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,4354.16,1.55749,0.85057,0.00616,0.84111,0.74391,0.80913,0.54525,1.33334,0.69736,0.0061,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4410.99,1.56617,0.85194,0.0061,0.83743,0.74853,0.81084,0.54856,1.33328,0.69594,0.00609,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,4465.67,1.55508,0.85095,0.00618,0.84463,0.74629,0.81144,0.54843,1.33238,0.6955,0.00609,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
