epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.3884,1.0861,0.32407,1,1.16616,0.000474216,0.000474216,0.000474216
2,23.0678,0.97779,0.59259,1,0.90458,0.000950317,0.000950317,0.000950317
3,34.6733,0.91586,0.52778,1,1.05404,0.00142549,0.00142549,0.00142549
4,46.3109,0.88235,0.59259,1,1.86352,0.00142586,0.00142586,0.00142586
5,58.0363,0.97843,0.50926,1,0.961,0.00142342,0.00142342,0.00142342
6,69.5789,0.79777,0.60185,1,0.95715,0.00142029,0.00142029,0.00142029
7,81.1583,0.79107,0.56481,1,1.00822,0.00141647,0.00141647,0.00141647
8,92.7409,0.72059,0.62963,1,0.92965,0.00141196,0.00141196,0.00141196
9,104.21,0.74748,0.58333,1,0.94689,0.00140678,0.00140678,0.00140678
10,115.728,0.68488,0.58333,1,1.02367,0.00140091,0.00140091,0.00140091
11,127.067,0.64619,0.66667,1,0.66096,0.00139438,0.00139438,0.00139438
12,138.407,0.69346,0.62963,1,0.81178,0.00138718,0.00138718,0.00138718
13,149.619,0.6436,0.60185,1,1.18315,0.00137933,0.00137933,0.00137933
14,160.794,0.60621,0.72222,1,0.73243,0.00137082,0.00137082,0.00137082
15,172.01,0.54265,0.62963,1,0.99468,0.00136168,0.00136168,0.00136168
16,183.236,0.50375,0.65741,1,0.77064,0.0013519,0.0013519,0.0013519
17,194.39,0.4892,0.73148,1,0.69808,0.0013415,0.0013415,0.0013415
18,205.609,0.54772,0.71296,1,0.65948,0.0013305,0.0013305,0.0013305
19,216.777,0.50152,0.72222,1,0.80079,0.00131888,0.00131888,0.00131888
20,227.958,0.49604,0.72222,1,0.87572,0.00130668,0.00130668,0.00130668
21,239.161,0.45949,0.68519,1,0.67403,0.00129391,0.00129391,0.00129391
22,250.328,0.44581,0.72222,1,0.6333,0.00128057,0.00128057,0.00128057
23,261.427,0.4622,0.72222,1,0.68387,0.00126667,0.00126667,0.00126667
24,272.562,0.42455,0.77778,1,0.67747,0.00125224,0.00125224,0.00125224
25,283.811,0.45602,0.73148,1,0.80827,0.00123728,0.00123728,0.00123728
26,294.988,0.40396,0.73148,1,0.79847,0.00122182,0.00122182,0.00122182
27,306.127,0.44772,0.71296,1,0.8511,0.00120586,0.00120586,0.00120586
28,317.307,0.42728,0.72222,1,0.60723,0.00118943,0.00118943,0.00118943
29,328.483,0.42278,0.71296,1,0.64869,0.00117253,0.00117253,0.00117253
30,339.734,0.42566,0.74074,1,0.62339,0.00115519,0.00115519,0.00115519
31,350.989,0.40936,0.74074,1,0.7611,0.00113742,0.00113742,0.00113742
32,362.437,0.4427,0.73148,1,0.88457,0.00111924,0.00111924,0.00111924
33,373.914,0.3985,0.72222,1,0.89787,0.00110066,0.00110066,0.00110066
34,385.51,0.4059,0.75926,1,0.89402,0.00108172,0.00108172,0.00108172
35,397.003,0.35142,0.73148,1,1.07465,0.00106242,0.00106242,0.00106242
36,408.529,0.37994,0.73148,1,0.68069,0.00104278,0.00104278,0.00104278
37,420.081,0.39296,0.72222,1,0.80872,0.00102282,0.00102282,0.00102282
38,431.296,0.38872,0.74074,1,0.84078,0.00100257,0.00100257,0.00100257
39,442.546,0.35482,0.73148,1,0.79108,0.00098204,0.00098204,0.00098204
40,453.765,0.35494,0.74074,1,0.80259,0.000961253,0.000961253,0.000961253
41,464.818,0.3375,0.75926,1,0.55918,0.00094023,0.00094023,0.00094023
42,475.983,0.33997,0.73148,1,0.70305,0.000918991,0.000918991,0.000918991
43,487.248,0.33769,0.74074,1,0.73903,0.000897557,0.000897557,0.000897557
44,498.386,0.32478,0.73148,1,0.70339,0.00087595,0.00087595,0.00087595
