epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.262,1.44161,2.95191,0.00553,0.60559,0.62767,0.64759,0.43287,1.22738,1.78183,0.00605,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906
2,190.937,1.42579,1.46817,0.0055,0.73376,0.67713,0.72888,0.48316,1.24736,1.15776,0.00627,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941
3,269.333,1.45127,1.23808,0.00569,0.71723,0.66759,0.73397,0.46241,1.33066,1.0311,0.00703,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677
4,346.099,1.47895,1.16445,0.00586,0.76806,0.6867,0.75461,0.49333,1.30995,0.95489,0.00676,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,421.823,1.43888,1.07521,0.00572,0.75136,0.75413,0.78859,0.51848,1.26805,0.85845,0.00663,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,497.38,1.42316,1.02635,0.0056,0.76754,0.76895,0.79808,0.53198,1.26812,0.81111,0.00657,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,573.622,1.40416,0.98232,0.0055,0.77594,0.75229,0.8077,0.52687,1.25238,0.7892,0.00654,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,649.846,1.37624,0.95199,0.00535,0.78216,0.76901,0.81608,0.55905,1.22065,0.7553,0.00635,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,726.038,1.3685,0.92076,0.00526,0.80841,0.75752,0.83059,0.57144,1.17276,0.7187,0.00604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,801.509,1.34342,0.90017,0.0052,0.79483,0.7609,0.82954,0.57697,1.15902,0.71554,0.00598,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
